id,question,reference_answer,student_answer,label,human_score,subject
1,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,রাম বধ রাবণকে করেছিলেন।,correct,85,ইতিহাস
2,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,তিনি রাবণকে বধ করেছিলেন।,partially_correct,62,ইতিহাস
3,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,রাম রাবণকে বধ করেছিলেন এটি সবাই জানে।,correct,95,ইতিহাস
4,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,রাম রাবণকে ২০০১ করেছিলেন।,incorrect,28,ইতিহাস
5,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,রাবণকে রাম বধ করেছিলেন।,incorrect,21,ইতিহাস
6,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,রাম রাবণকে বধ করেছিলেন।,correct,95,ইতিহাস
7,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,রাম বধ করেছিলেন।,partially_correct,65,ইতিহাস
8,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,রাম রাবণকে ১৮০০ করেছিলেন।,incorrect,30,ইতিহাস
9,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,রাম রাবণকে মঙ্গল করেছিলেন।,incorrect,17,ইতিহাস
10,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,টেবিল রাবণকে বধ করেছিলেন।,incorrect,18,ইতিহাস
11,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,রাম রাবণকে বধ করেছিলেন।,correct,96,ইতিহাস
12,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,রাবণকে রাম বধ করেছিলেন।,incorrect,30,ইতিহাস
13,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,তিনি রাবণকে বধ করেছিলেন।,partially_correct,61,ইতিহাস
14,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,রাবণকে বধ করেছিলেন।,partially_correct,43,ইতিহাস
15,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,রাম বধ রাবণকে করেছিলেন।,correct,91,ইতিহাস
16,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,রাম বধ রাবণকে করেছিলেন।,correct,90,ইতিহাস
17,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,রাবণকে রাম বধ করেছিলেন।,incorrect,39,ইতিহাস
18,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,সে রাবণকে বধ করেছিলেন।,partially_correct,69,ইতিহাস
19,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,রাম রাবণকে ২০০১ করেছিলেন।,incorrect,22,ইতিহাস
20,কে রাবণকে বধ করেছিলেন?,রাম রাবণকে বধ করেছিলেন।,রাম বধ রাবণকে করেছিলেন।,correct,93,ইতিহাস
21,কে ভারতের প্রথম প্রধানমন্ত্রী ছিলেন?,জওহরলাল নেহরু ভারতের প্রথম প্রধানমন্ত্রী ছিলেন।,জওহরলাল নেহরু ভারতের প্রথম প্রধানমন্ত্রী।,partially_correct,46,ইতিহাস
22,কে ভারতের প্রথম প্রধানমন্ত্রী ছিলেন?,জওহরলাল নেহরু ভারতের প্রথম প্রধানমন্ত্রী ছিলেন।,আমার বাড়ি ঢাকায়।,incorrect,1,ইতিহাস
23,কে ভারতের প্রথম প্রধানমন্ত্রী ছিলেন?,জওহরলাল নেহরু ভারতের প্রথম প্রধানমন্ত্রী ছিলেন।,জওহরলাল নেহরু ভারতের প্রথম প্রধানমন্ত্রী ছিলেন।,correct,100,ইতিহাস
24,কে ভারতের প্রথম প্রধানমন্ত্রী ছিলেন?,জওহরলাল নেহরু ভারতের প্রথম প্রধানমন্ত্রী ছিলেন।,তারা নেহরু ভারতের প্রথম প্রধানমন্ত্রী ছিলেন।,partially_correct,57,ইতিহাস
25,কে ভারতের প্রথম প্রধানমন্ত্রী ছিলেন?,জওহরলাল নেহরু ভারতের প্রথম প্রধানমন্ত্রী ছিলেন।,সে নেহরু ভারতের প্রথম প্রধানমন্ত্রী ছিলেন।,partially_correct,67,ইতিহাস
26,কে ভারতের প্রথম প্রধানমন্ত্রী ছিলেন?,জওহরলাল নেহরু ভারতের প্রথম প্রধানমন্ত্রী ছিলেন।,এটি নেহরু ভারতের প্রথম প্রধানমন্ত্রী ছিলেন।,partially_correct,66,ইতিহাস
