id,question,reference_answer,student_answer,label,human_score,subject
1,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে। এরই পরিপ্রেক্ষিতে ২৫শে মার্চ রাতে পাকিস্তানি সেনাবাহিনী নিরস্ত্র বাঙালিদের উপর গণহত্যা শুরু করে। বঙ্গবন্ধু শেখ মুজিবুর রহমান ২৬শে মার্চ স্বাধীনতার ঘোষণা দেন এবং নয় মাসের সশস্ত্র সংগ্রামের মাধ্যমে ১৬ই ডিসেম্বর বাংলাদেশ স্বাধীনতা লাভ করে।","বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে। এরই পরিপ্রেক্ষিতে ২৫শে মার্চ রাতে পাকিস্তানি সেনাবাহিনী নিরস্ত্র বাঙালিদের উপর গণহত্যা শুরু করে। বঙ্গবন্ধু শেখ মুজিবুর রহমান ২৬শে মার্চ স্বাধীনতার ঘোষণা দেন এবং নয় মাসের সশস্ত্র সংগ্রামের মাধ্যমে ১৬ই ডিসেম্বর বাংলাদেশ স্বাধীনতা লাভ করে।",correct,92,ইতিহাস
2,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে। এরই পরিপ্রেক্ষিতে ২৫শে মার্চ রাতে পাকিস্তানি সেনাবাহিনী নিরস্ত্র বাঙালিদের উপর গণহত্যা শুরু করে। বঙ্গবন্ধু শেখ মুজিবুর রহমান ২৬শে মার্চ স্বাধীনতার ঘোষণা দেন এবং নয় মাসের সশস্ত্র সংগ্রামের মাধ্যমে ১৬ই ডিসেম্বর বাংলাদেশ স্বাধীনতা লাভ করে।","বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে। এরই পরিপ্রেক্ষিতে ২৫শে মার্চ রাতে পাকিস্তানি সেনাবাহিনী নিরস্ত্র বাঙালিদের উপর গণহত্যা শুরু করে। বঙ্গবন্ধু শেখ মুজিবুর রহমান ২৬শে মার্চ স্বাধীনতার ঘোষণা দেন এবং নয় মাসের সশস্ত্র সংগ্রামের মাধ্যমে ১৬ই ডিসেম্বর বাংলাদেশ স্বাধীনতা লাভ করে। এই বিষয়টি পরীক্ষায় খুবই গুরুত্বপূর্ণ।",correct,94,ইতিহাস
3,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে। এরই পরিপ্রেক্ষিতে ২৫শে মার্চ রাতে পাকিস্তানি সেনাবাহিনী নিরস্ত্র বাঙালিদের উপর গণহত্যা শুরু করে। বঙ্গবন্ধু শেখ মুজিবুর রহমান ২৬শে মার্চ স্বাধীনতার ঘোষণা দেন এবং নয় মাসের সশস্ত্র সংগ্রামের মাধ্যমে ১৬ই ডিসেম্বর বাংলাদেশ স্বাধীনতা লাভ করে।","বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। বঙ্গবন্ধু শেখ মুজিবুর রহমান ২৬শে মার্চ স্বাধীনতার ঘোষণা দেন এবং নয় মাসের সশস্ত্র সংগ্রামের মাধ্যমে ১৬ই ডিসেম্বর বাংলাদেশ স্বাধীনতা লাভ করে। এরই পরিপ্রেক্ষিতে ২৫শে মার্চ রাতে পাকিস্তানি সেনাবাহিনী নিরস্ত্র বাঙালিদের উপর গণহত্যা শুরু করে।",correct,90,ইতিহাস
4,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে। এরই পরিপ্রেক্ষিতে ২৫শে মার্চ রাতে পাকিস্তানি সেনাবাহিনী নিরস্ত্র বাঙালিদের উপর গণহত্যা শুরু করে। বঙ্গবন্ধু শেখ মুজিবুর রহমান ২৬শে মার্চ স্বাধীনতার ঘোষণা দেন এবং নয় মাসের সশস্ত্র সংগ্রামের মাধ্যমে ১৬ই ডিসেম্বর বাংলাদেশ স্বাধীনতা লাভ করে।","বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে।",partially_correct,61,ইতিহাস
5,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে। এরই পরিপ্রেক্ষিতে ২৫শে মার্চ রাতে পাকিস্তানি সেনাবাহিনী নিরস্ত্র বাঙালিদের উপর গণহত্যা শুরু করে। বঙ্গবন্ধু শেখ মুজিবুর রহমান ২৬শে মার্চ স্বাধীনতার ঘোষণা দেন এবং নয় মাসের সশস্ত্র সংগ্রামের মাধ্যমে ১৬ই ডিসেম্বর বাংলাদেশ স্বাধীনতা লাভ করে।","বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল।",partially_correct,42,ইতিহাস
6,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে। এরই পরিপ্রেক্ষিতে ২৫শে মার্চ রাতে পাকিস্তানি সেনাবাহিনী নিরস্ত্র বাঙালিদের উপর গণহত্যা শুরু করে। বঙ্গবন্ধু শেখ মুজিবুর রহমান ২৬শে মার্চ স্বাধীনতার ঘোষণা দেন এবং নয় মাসের সশস্ত্র সংগ্রামের মাধ্যমে ১৬ই ডিসেম্বর বাংলাদেশ স্বাধীনতা লাভ করে।","বাংলাদেশের মুক্তিযুদ্ধ ১৯৬৫ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে। এরই পরিপ্রেক্ষিতে ২৫শে মার্চ রাতে পাকিস্তানি সেনাবাহিনী নিরস্ত্র বাঙালিদের উপর গণহত্যা শুরু করে। বঙ্গবন্ধু শেখ মুজিবুর রহমান ২৬শে মার্চ স্বাধীনতার ঘোষণা দেন এবং নয় মাসের সশস্ত্র সংগ্রামের মাধ্যমে ১৬ই ডিসেম্বর বাংলাদেশ স্বাধীনতা লাভ করে।",incorrect,22,ইতিহাস
7,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে। এরই পরিপ্রেক্ষিতে ২৫শে মার্চ রাতে পাকিস্তানি সেনাবাহিনী নিরস্ত্র বাঙালিদের উপর গণহত্যা শুরু করে। বঙ্গবন্ধু শেখ মুজিবুর রহমান ২৬শে মার্চ স্বাধীনতার ঘোষণা দেন এবং নয় মাসের সশস্ত্র সংগ্রামের মাধ্যমে ১৬ই ডিসেম্বর বাংলাদেশ স্বাধীনতা লাভ করে।","পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে। এরই পরিপ্রেক্ষিতে ২৫শে মার্চ রাতে পাকিস্তানি সেনাবাহিনী নিরস্ত্র বাঙালিদের উপর গণহত্যা শুরু করে। বঙ্গবন্ধু শেখ মুজিবুর রহমান ২৬শে মার্চ স্বাধীনতার ঘোষণা দেন এবং নয় মাসের সশস্ত্র সংগ্রামের মাধ্যমে ১৬ই ডিসেম্বর বাংলাদেশ স্বাধীনতা লাভ করে।",partially_correct,55,ইতিহাস
8,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে। এরই পরিপ্রেক্ষিতে ২৫শে মার্চ রাতে পাকিস্তানি সেনাবাহিনী নিরস্ত্র বাঙালিদের উপর গণহত্যা শুরু করে। বঙ্গবন্ধু শেখ মুজিবুর রহমান ২৬শে মার্চ স্বাধীনতার ঘোষণা দেন এবং নয় মাসের সশস্ত্র সংগ্রামের মাধ্যমে ১৬ই ডিসেম্বর বাংলাদেশ স্বাধীনতা লাভ করে।",বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়।,partially_correct,40,ইতিহাস
9,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে। এরই পরিপ্রেক্ষিতে ২৫শে মার্চ রাতে পাকিস্তানি সেনাবাহিনী নিরস্ত্র বাঙালিদের উপর গণহত্যা শুরু করে। বঙ্গবন্ধু শেখ মুজিবুর রহমান ২৬শে মার্চ স্বাধীনতার ঘোষণা দেন এবং নয় মাসের সশস্ত্র সংগ্রামের মাধ্যমে ১৬ই ডিসেম্বর বাংলাদেশ স্বাধীনতা লাভ করে।",আজ আবহাওয়া খুব ভালো। বৃষ্টি হচ্ছে না।,incorrect,3,ইতিহাস
10,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে। এরই পরিপ্রেক্ষিতে ২৫শে মার্চ রাতে পাকিস্তানি সেনাবাহিনী নিরস্ত্র বাঙালিদের উপর গণহত্যা শুরু করে। বঙ্গবন্ধু শেখ মুজিবুর রহমান ২৬শে মার্চ স্বাধীনতার ঘোষণা দেন এবং নয় মাসের সশস্ত্র সংগ্রামের মাধ্যমে ১৬ই ডিসেম্বর বাংলাদেশ স্বাধীনতা লাভ করে।","পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে। তবে এ বিষয়ে আরও বিস্তারিত আলোচনা দরকার।",partially_correct,53,ইতিহাস
