id,question,reference_answer,student_answer,label,human_score,subject
1,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে।","এই প্রশ্নের উত্তরে নিম্নলিখিত বিষয়গুলি উল্লেখযোগ্য: বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল।...",correct,87,ইতিহাস
2,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে।","বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে",partially_correct,45,ইতিহাস
3,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে।",এটি আমার জানা নেই তবে অনেক মতামত রয়েছে।,incorrect,23,ইতিহাস
4,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে।",এই বিষয়টি সম্পূর্ণভাবে বুঝতে পারিনি এবং কোন উত্তর দিতে পারছি না।,incorrect,5,ইতিহাস
5,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে।","বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে।",correct,96,ইতিহাস
6,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে।",এই বিষয়ে ভিন্নমত রয়েছে এবং সবাই একমত নয়।,incorrect,6,ইতিহাস
7,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে।","এই প্রশ্নের উত্তরে নিম্নলিখিত বিষয়গুলি উল্লেখযোগ্য: বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল।...",correct,96,ইতিহাস
8,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে।",বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়,partially_correct,45,ইতিহাস
9,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে।","বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে",partially_correct,69,ইতিহাস
10,বাংলাদেশের মুক্তিযুদ্ধের পটভূমি ও প্রধান কারণগুলি বর্ণনা কর।,"বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল। ১৯৭০ সালের সাধারণ নির্বাচনে আওয়ামী লীগ সংখ্যাগরিষ্ঠতা অর্জন করলেও পাকিস্তানি শাসকগোষ্ঠী তাদের কাছে ক্ষমতা হস্তান্তর করতে অস্বীকার করে।","এই প্রশ্নের উত্তরে নিম্নলিখিত বিষয়গুলি উল্লেখযোগ্য: বাংলাদেশের মুক্তিযুদ্ধ ১৯৭১ সালে সংঘটিত হয়। পাকিস্তান সরকার বাংলাভাষী জনগণের উপর দীর্ঘদিন ধরে রাজনৈতিক, অর্থনৈতিক ও সাংস্কৃতিক নিপীড়ন চালিয়ে আসছিল।...",correct,94,ইতিহাস
